Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:45:26.574000,VER,1,86.718,16.0,1.0,,,28.45,29.91,28.358,0 days 01:44:28.288000,0 days 01:44:58.198000,0 days 01:45:26.556000,307.0,306.0,307.0,308.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:43:59.856000,2023-09-03 13:45:00.901,1,1.0,False,,False,True
0 days 01:46:53.307000,VER,1,86.733,17.0,1.0,,,28.348,29.889,28.496,0 days 01:45:54.904000,0 days 01:46:24.793000,0 days 01:46:53.289000,309.0,307.0,307.0,310.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:45:26.574000,2023-09-03 13:46:27.619,1,1.0,False,,False,True
0 days 01:48:19.580000,VER,1,86.273,18.0,1.0,,,28.247,29.668,28.358,0 days 01:47:21.536000,0 days 01:47:51.204000,0 days 01:48:19.562000,311.0,308.0,307.0,311.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:46:53.307000,2023-09-03 13:47:54.352,1,1.0,False,,False,True
0 days 01:49:46.018000,VER,1,86.438,19.0,1.0,,,28.368,29.832,28.238,0 days 01:48:47.930000,0 days 01:49:17.762000,0 days 01:49:46,,311.0,307.0,310.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:48:19.580000,2023-09-03 13:49:20.625,1,1.0,False,,False,True
0 days 01:51:16.867000,VER,1,90.849,20.0,1.0,,0 days 01:51:13.003000,28.384,29.907,32.558,0 days 01:50:14.384000,0 days 01:50:44.291000,0 days 01:51:16.849000,,311.0,,,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:49:46.018000,2023-09-03 13:50:47.063,1,1.0,False,,False,False
0 days 01:53:02.527000,VER,1,105.66,21.0,2.0,0 days 01:51:37.284000,,48.054,29.398,28.208,0 days 01:52:04.903000,0 days 01:52:34.301000,0 days 01:53:02.509000,312.0,317.0,309.0,281.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:51:16.867000,2023-09-03 13:52:17.912,1,5.0,False,,False,False
0 days 01:54:28.412000,VER,1,85.885,22.0,2.0,,,28.01,29.546,28.329,0 days 01:53:30.519000,0 days 01:54:00.065000,0 days 01:54:28.394000,313.0,315.0,308.0,322.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:53:02.527000,2023-09-03 13:54:03.572,1,3.0,False,,False,True
0 days 01:55:54.571000,VER,1,86.159,23.0,2.0,,,28.131,29.638,28.39,0 days 01:54:56.525000,0 days 01:55:26.163000,0 days 01:55:54.553000,,310.0,309.0,314.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:54:28.412000,2023-09-03 13:55:29.457,1,2.0,False,,False,True
0 days 01:57:20.898000,VER,1,86.327,24.0,2.0,,,28.187,29.358,28.782,0 days 01:56:22.740000,0 days 01:56:52.098000,0 days 01:57:20.880000,314.0,318.0,316.0,312.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:55:54.571000,2023-09-03 13:56:55.616,1,2.0,False,,False,True
0 days 01:58:46.812000,VER,1,85.914,25.0,2.0,,,28.052,29.542,28.32,0 days 01:57:48.932000,0 days 01:58:18.474000,0 days 01:58:46.794000,307.0,308.0,307.0,340.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:57:20.898000,2023-09-03 13:58:21.943,1,1.0,False,,False,True
0 days 02:00:12.598000,VER,1,85.786,26.0,2.0,,,28.257,29.382,28.147,0 days 01:59:15.051000,0 days 01:59:44.433000,0 days 02:00:12.580000,308.0,309.0,307.0,311.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:58:46.812000,2023-09-03 13:59:47.857,1,1.0,False,,False,True
0 days 02:01:38.099000,VER,1,85.501,27.0,2.0,,,28.117,29.266,28.118,0 days 02:00:40.697000,0 days 02:01:09.963000,0 days 02:01:38.081000,311.0,314.0,307.0,314.0,True,HARD,7.0,True,Red Bull Racing,0 days 02:00:12.598000,2023-09-03 14:01:13.643,1,1.0,False,,False,True
0 days 02:03:03.533000,VER,1,85.434,28.0,2.0,,,28.158,29.202,28.074,0 days 02:02:06.239000,0 days 02:02:35.441000,0 days 02:03:03.515000,,312.0,307.0,,True,HARD,8.0,True,Red Bull Racing,0 days 02:01:38.099000,2023-09-03 14:02:39.144,1,1.0,False,,False,True
0 days 02:04:29.004000,VER,1,85.471,29.0,2.0,,,28.149,29.369,27.953,0 days 02:03:31.664000,0 days 02:04:01.033000,0 days 02:04:28.986000,313.0,312.0,307.0,316.0,False,HARD,9.0,True,Red Bull Racing,0 days 02:03:03.533000,2023-09-03 14:04:04.578,1,1.0,False,,False,True
0 days 02:05:54.402000,VER,1,85.398,30.0,2.0,,,28.15,29.213,28.035,0 days 02:04:57.136000,0 days 02:05:26.349000,0 days 02:05:54.384000,,312.0,307.0,313.0,True,HARD,10.0,True,Red Bull Racing,0 days 02:04:29.004000,2023-09-03 14:05:30.049,1,1.0,False,,False,True
0 days 02:07:19.904000,VER,1,85.502,31.0,2.0,,,28.161,29.37,27.971,0 days 02:06:22.545000,0 days 02:06:51.915000,0 days 02:07:19.886000,312.0,312.0,308.0,312.0,False,HARD,11.0,True,Red Bull Racing,0 days 02:05:54.402000,2023-09-03 14:06:55.447,1,1.0,False,,False,True
0 days 02:08:45.314000,VER,1,85.41,32.0,2.0,,,28.151,29.284,27.975,0 days 02:07:48.037000,0 days 02:08:17.321000,0 days 02:08:45.296000,311.0,312.0,308.0,,False,HARD,12.0,True,Red Bull Racing,0 days 02:07:19.904000,2023-09-03 14:08:20.949,1,1.0,False,,False,True
0 days 02:10:10.554000,VER,1,85.24,33.0,2.0,,,28.057,29.201,27.982,0 days 02:09:13.353000,0 days 02:09:42.554000,0 days 02:10:10.536000,312.0,311.0,310.0,311.0,True,HARD,13.0,True,Red Bull Racing,0 days 02:08:45.314000,2023-09-03 14:09:46.359,1,1.0,False,,False,True
0 days 02:11:36.237000,VER,1,85.683,34.0,2.0,,,28.111,29.501,28.071,0 days 02:10:38.647000,0 days 02:11:08.148000,0 days 02:11:36.219000,311.0,313.0,310.0,313.0,False,HARD,14.0,True,Red Bull Racing,0 days 02:10:10.554000,2023-09-03 14:11:11.599,1,1.0,False,,False,True
0 days 02:13:02.052000,VER,1,85.815,35.0,2.0,,,28.179,29.472,28.164,0 days 02:12:04.398000,0 days 02:12:33.870000,0 days 02:13:02.034000,,312.0,309.0,309.0,False,HARD,15.0,True,Red Bull Racing,0 days 02:11:36.237000,2023-09-03 14:12:37.282,1,1.0,False,,False,True
0 days 02:14:27.650000,VER,1,85.598,36.0,2.0,,,28.04,29.439,28.119,0 days 02:13:30.074000,0 days 02:13:59.513000,0 days 02:14:27.632000,,312.0,308.0,311.0,False,HARD,16.0,True,Red Bull Racing,0 days 02:13:02.052000,2023-09-03 14:14:03.097,1,1.0,False,,False,True
0 days 02:15:53.333000,VER,1,85.683,37.0,2.0,,,28.074,29.485,28.124,0 days 02:14:55.706000,0 days 02:15:25.191000,0 days 02:15:53.315000,313.0,313.0,309.0,315.0,False,HARD,17.0,True,Red Bull Racing,0 days 02:14:27.650000,2023-09-03 14:15:28.695,1,1.0,False,,False,True
0 days 02:17:18.918000,VER,1,85.585,38.0,2.0,,,28.067,29.469,28.049,0 days 02:16:21.382000,0 days 02:16:50.851000,0 days 02:17:18.900000,314.0,315.0,310.0,312.0,False,HARD,18.0,True,Red Bull Racing,0 days 02:15:53.333000,2023-09-03 14:16:54.378,1,1.0,False,,False,True
0 days 02:18:44.404000,VER,1,85.486,39.0,2.0,,,28.053,29.353,28.08,0 days 02:17:46.953000,0 days 02:18:16.306000,0 days 02:18:44.386000,315.0,315.0,311.0,314.0,False,HARD,19.0,True,Red Bull Racing,0 days 02:17:18.918000,2023-09-03 14:18:19.963,1,1.0,False,,False,True
0 days 02:20:10.305000,VER,1,85.901,40.0,2.0,,,28.185,29.481,28.235,0 days 02:19:12.571000,0 days 02:19:42.052000,0 days 02:20:10.287000,,315.0,310.0,309.0,False,HARD,20.0,True,Red Bull Racing,0 days 02:18:44.404000,2023-09-03 14:19:45.449,1,1.0,False,,False,True
0 days 02:21:36.084000,VER,1,85.779,41.0,2.0,,,28.079,29.543,28.157,0 days 02:20:38.366000,0 days 02:21:07.909000,0 days 02:21:36.066000,313.0,313.0,310.0,312.0,False,HARD,21.0,True,Red Bull Racing,0 days 02:20:10.305000,2023-09-03 14:21:11.350,1,1.0,False,,False,True
0 days 02:23:01.996000,VER,1,85.912,42.0,2.0,,,28.057,29.562,28.293,0 days 02:22:04.123000,0 days 02:22:33.685000,0 days 02:23:01.978000,314.0,316.0,309.0,313.0,False,HARD,22.0,True,Red Bull Racing,0 days 02:21:36.084000,2023-09-03 14:22:37.129,1,1.0,False,,False,True
0 days 02:24:27.990000,VER,1,85.994,43.0,2.0,,,28.178,29.666,28.15,0 days 02:23:30.156000,0 days 02:23:59.822000,0 days 02:24:27.972000,315.0,316.0,311.0,309.0,False,HARD,23.0,True,Red Bull Racing,0 days 02:23:01.996000,2023-09-03 14:24:03.041,1,1.0,False,,False,True
0 days 02:25:53.741000,VER,1,85.751,44.0,2.0,,,28.03,29.503,28.218,0 days 02:24:56.002000,0 days 02:25:25.505000,0 days 02:25:53.723000,316.0,318.0,310.0,311.0,False,HARD,24.0,True,Red Bull Racing,0 days 02:24:27.990000,2023-09-03 14:25:29.035,1,1.0,False,,False,True
0 days 02:27:19.657000,VER,1,85.916,45.0,2.0,,,28.045,29.693,28.178,0 days 02:26:21.768000,0 days 02:26:51.461000,0 days 02:27:19.639000,317.0,316.0,311.0,305.0,False,HARD,25.0,True,Red Bull Racing,0 days 02:25:53.741000,2023-09-03 14:26:54.786,1,1.0,False,,False,True
0 days 02:28:45.842000,VER,1,86.185,46.0,2.0,,,28.067,29.921,28.197,0 days 02:27:47.706000,0 days 02:28:17.627000,0 days 02:28:45.824000,316.0,317.0,312.0,308.0,False,HARD,26.0,True,Red Bull Racing,0 days 02:27:19.657000,2023-09-03 14:28:20.702,1,1.0,False,,False,True
0 days 02:30:11.979000,VER,1,86.137,47.0,2.0,,,28.058,29.565,28.514,0 days 02:29:13.882000,0 days 02:29:43.447000,0 days 02:30:11.961000,,316.0,312.0,306.0,False,HARD,27.0,True,Red Bull Racing,0 days 02:28:45.842000,2023-09-03 14:29:46.887,1,1.0,False,,False,True
0 days 02:31:39.214000,VER,1,87.235,48.0,2.0,,,28.459,30.06,28.716,0 days 02:30:40.420000,0 days 02:31:10.480000,0 days 02:31:39.196000,305.0,312.0,310.0,294.0,False,HARD,28.0,True,Red Bull Racing,0 days 02:30:11.979000,2023-09-03 14:31:13.024,1,1.0,False,,False,True
0 days 02:33:07.121000,VER,1,87.907,49.0,2.0,,,28.567,30.249,29.091,0 days 02:32:07.763000,0 days 02:32:38.012000,0 days 02:33:07.103000,291.0,306.0,310.0,290.0,False,HARD,29.0,True,Red Bull Racing,0 days 02:31:39.214000,2023-09-03 14:32:40.259,1,1.0,False,,False,True
0 days 02:34:35.514000,VER,1,88.393,50.0,2.0,,,28.738,30.474,29.181,0 days 02:33:35.841000,0 days 02:34:06.315000,0 days 02:34:35.496000,300.0,304.0,310.0,283.0,False,HARD,30.0,True,Red Bull Racing,0 days 02:33:07.121000,2023-09-03 14:34:08.166,1,1.0,False,,False,True
0 days 02:36:03.039000,VER,1,87.525,51.0,2.0,,,28.415,30.353,28.757,0 days 02:35:03.911000,0 days 02:35:34.264000,0 days 02:36:03.021000,298.0,309.0,311.0,293.0,False,HARD,31.0,True,Red Bull Racing,0 days 02:34:35.514000,2023-09-03 14:35:36.559,1,1.0,False,,False,True
0 days 01:23:57.870000,GAS,10,95.974,1.0,1.0,,,,32.313,29.984,,0 days 01:23:27.881000,0 days 01:23:57.959000,324.0,316.0,306.0,276.0,False,MEDIUM,1.0,True,Alpine,0 days 01:22:21.726000,2023-09-03 13:23:22.771,1,18.0,False,,False,False
0 days 01:25:26.566000,GAS,10,88.696,2.0,1.0,,,28.782,30.575,29.339,0 days 01:24:26.641000,0 days 01:24:57.216000,0 days 01:25:26.555000,310.0,309.0,306.0,320.0,True,MEDIUM,2.0,True,Alpine,0 days 01:23:57.870000,2023-09-03 13:24:58.915,1,17.0,False,,False,True
0 days 01:26:54.482000,GAS,10,87.916,3.0,1.0,,,28.714,30.06,29.142,0 days 01:25:55.269000,0 days 01:26:25.329000,0 days 01:26:54.471000,,326.0,305.0,,True,MEDIUM,3.0,True,Alpine,0 days 01:25:26.566000,2023-09-03 13:26:27.611,1,17.0,False,,False,True
0 days 01:28:21.954000,GAS,10,87.472,4.0,1.0,,,28.432,30.029,29.011,0 days 01:27:22.903000,0 days 01:27:52.932000,0 days 01:28:21.943000,,326.0,308.0,325.0,True,MEDIUM,4.0,True,Alpine,0 days 01:26:54.482000,2023-09-03 13:27:55.527,1,17.0,False,,False,True
0 days 01:29:49.648000,GAS,10,87.694,5.0,1.0,,,28.291,30.155,29.248,0 days 01:28:50.234000,0 days 01:29:20.389000,0 days 01:29:49.637000,308.0,327.0,305.0,347.0,False,MEDIUM,5.0,True,Alpine,0 days 01:28:21.954000,2023-09-03 13:29:22.999,1,17.0,False,,False,True
0 days 01:31:16.972000,GAS,10,87.324,6.0,1.0,,,28.241,30.047,29.036,0 days 01:30:17.878000,0 days 01:30:47.925000,0 days 01:31:16.961000,,324.0,305.0,331.0,True,MEDIUM,6.0,True,Alpine,0 days 01:29:49.648000,2023-09-03 13:30:50.693,1,17.0,False,,False,True
0 days 01:32:44.182000,GAS,10,87.21,7.0,1.0,,,28.18,29.932,29.098,0 days 01:31:45.141000,0 days 01:32:15.073000,0 days 01:32:44.171000,307.0,325.0,305.0,328.0,True,MEDIUM,7.0,True,Alpine,0 days 01:31:16.972000,2023-09-03 13:32:18.017,1,17.0,False,,False,True
0 days 01:34:11.422000,GAS,10,87.24,8.0,1.0,,,28.0,30.157,29.083,0 days 01:33:12.171000,0 days 01:33:42.328000,0 days 01:34:11.411000,310.0,322.0,305.0,334.0,False,MEDIUM,8.0,True,Alpine,0 days 01:32:44.182000,2023-09-03 13:33:45.227,1,17.0,False,,False,True
0 days 01:35:38.788000,GAS,10,87.366,9.0,1.0,,,28.124,29.976,29.266,0 days 01:34:39.535000,0 days 01:35:09.511000,0 days 01:35:38.777000,309.0,325.0,305.0,330.0,False,MEDIUM,9.0,True,Alpine,0 days 01:34:11.422000,2023-09-03 13:35:12.467,1,17.0,False,,False,True
0 days 01:37:10.822000,GAS,10,92.034,10.0,1.0,,0 days 01:37:06.997000,28.126,30.178,33.73,0 days 01:36:06.903000,0 days 01:36:37.081000,0 days 01:37:10.811000,312.0,325.0,,327.0,False,MEDIUM,10.0,True,Alpine,0 days 01:35:38.788000,2023-09-03 13:36:39.833,1,18.0,False,,False,False
0 days 01:39:00.992000,GAS,10,110.17,11.0,2.0,0 days 01:37:34.372000,,51.42,29.937,28.813,0 days 01:38:02.231000,0 days 01:38:32.168000,0 days 01:39:00.981000,301.0,299.0,302.0,277.0,False,HARD,4.0,False,Alpine,0 days 01:37:10.822000,2023-09-03 13:38:11.867,1,19.0,False,,False,False
0 days 01:40:28.423000,GAS,10,87.431,12.0,2.0,,,28.524,29.851,29.056,0 days 01:39:29.505000,0 days 01:39:59.356000,0 days 01:40:28.412000,,299.0,302.0,306.0,False,HARD,5.0,False,Alpine,0 days 01:39:00.992000,2023-09-03 13:40:02.037,1,19.0,False,,False,True
0 days 01:41:55.791000,GAS,10,87.368,13.0,2.0,,,28.44,29.892,29.036,0 days 01:40:56.852000,0 days 01:41:26.744000,0 days 01:41:55.780000,303.0,301.0,302.0,309.0,False,HARD,6.0,False,Alpine,0 days 01:40:28.423000,2023-09-03 13:41:29.468,1,18.0,False,,False,True
0 days 01:43:23.139000,GAS,10,87.348,14.0,2.0,,,28.394,30.051,28.903,0 days 01:42:24.174000,0 days 01:42:54.225000,0 days 01:43:23.128000,306.0,304.0,302.0,310.0,False,HARD,7.0,False,Alpine,0 days 01:41:55.791000,2023-09-03 13:42:56.836,1,18.0,False,,False,True
0 days 01:44:50.502000,GAS,10,87.363,15.0,2.0,,,28.462,30.093,28.808,0 days 01:43:51.590000,0 days 01:44:21.683000,0 days 01:44:50.491000,308.0,309.0,306.0,311.0,False,HARD,8.0,False,Alpine,0 days 01:43:23.139000,2023-09-03 13:44:24.184,1,18.0,False,,False,True
0 days 01:46:17.590000,GAS,10,87.088,16.0,2.0,,,28.289,30.067,28.732,0 days 01:45:18.780000,0 days 01:45:48.847000,0 days 01:46:17.579000,,305.0,306.0,313.0,True,HARD,9.0,False,Alpine,0 days 01:44:50.502000,2023-09-03 13:45:51.547,1,18.0,False,,False,True
0 days 01:47:44.666000,GAS,10,87.076,17.0,2.0,,,28.286,29.953,28.837,0 days 01:46:45.865000,0 days 01:47:15.818000,0 days 01:47:44.655000,307.0,306.0,306.0,314.0,True,HARD,10.0,False,Alpine,0 days 01:46:17.590000,2023-09-03 13:47:18.635,1,18.0,False,,False,True
0 days 01:49:11.719000,GAS,10,87.053,18.0,2.0,,,28.315,30.045,28.693,0 days 01:48:12.970000,0 days 01:48:43.015000,0 days 01:49:11.708000,306.0,305.0,305.0,,True,HARD,11.0,False,Alpine,0 days 01:47:44.666000,2023-09-03 13:48:45.711,1,18.0,False,,False,True
0 days 01:50:38.855000,GAS,10,87.136,19.0,2.0,,,28.422,30.088,28.626,0 days 01:49:40.130000,0 days 01:50:10.218000,0 days 01:50:38.844000,305.0,306.0,306.0,,False,HARD,12.0,False,Alpine,0 days 01:49:11.719000,2023-09-03 13:50:12.764,1,18.0,False,,False,True
0 days 01:52:05.890000,GAS,10,87.035,20.0,2.0,,,28.17,30.107,28.758,0 days 01:51:07.014000,0 days 01:51:37.121000,0 days 01:52:05.879000,308.0,318.0,306.0,326.0,True,HARD,13.0,False,Alpine,0 days 01:50:38.855000,2023-09-03 13:51:39.900,1,18.0,False,,False,True
0 days 01:53:33.596000,GAS,10,87.706,21.0,2.0,,,28.31,30.354,29.042,0 days 01:52:34.189000,0 days 01:53:04.543000,0 days 01:53:33.585000,306.0,306.0,305.0,324.0,False,HARD,14.0,False,Alpine,0 days 01:52:05.890000,2023-09-03 13:53:06.935,1,17.0,False,,False,True
0 days 01:55:00.815000,GAS,10,87.219,22.0,2.0,,,28.315,30.023,28.881,0 days 01:54:01.900000,0 days 01:54:31.923000,0 days 01:55:00.804000,,307.0,305.0,312.0,False,HARD,15.0,False,Alpine,0 days 01:53:33.596000,2023-09-03 13:54:34.641,1,17.0,False,,False,True
0 days 01:56:28.269000,GAS,10,87.454,23.0,2.0,,,28.367,30.178,28.909,0 days 01:55:29.171000,0 days 01:55:59.349000,0 days 01:56:28.258000,,306.0,305.0,,False,HARD,16.0,False,Alpine,0 days 01:55:00.815000,2023-09-03 13:56:01.860,1,17.0,False,,False,True
0 days 01:57:55.329000,GAS,10,87.06,24.0,2.0,,,28.144,30.16,28.756,0 days 01:56:56.402000,0 days 01:57:26.562000,0 days 01:57:55.318000,,307.0,306.0,315.0,False,HARD,17.0,False,Alpine,0 days 01:56:28.269000,2023-09-03 13:57:29.314,1,17.0,False,,False,True
0 days 01:59:22.552000,GAS,10,87.223,25.0,2.0,,,28.176,30.119,28.928,0 days 01:58:23.494000,0 days 01:58:53.613000,0 days 01:59:22.541000,,307.0,305.0,,False,HARD,18.0,False,Alpine,0 days 01:57:55.329000,2023-09-03 13:58:56.374,1,16.0,False,,False,True
0 days 02:00:50.142000,GAS,10,87.59,26.0,2.0,,,28.496,30.15,28.944,0 days 01:59:51.037000,0 days 02:00:21.187000,0 days 02:00:50.131000,,308.0,304.0,,False,HARD,19.0,False,Alpine,0 days 01:59:22.552000,2023-09-03 14:00:23.597,1,15.0,False,,False,True
0 days 02:02:17.331000,GAS,10,87.189,27.0,2.0,,,28.305,30.124,28.76,0 days 02:01:18.436000,0 days 02:01:48.560000,0 days 02:02:17.320000,,308.0,303.0,,False,HARD,20.0,False,Alpine,0 days 02:00:50.142000,2023-09-03 14:01:51.187,1,15.0,False,,False,True
0 days 02:03:44.852000,GAS,10,87.521,28.0,2.0,,,28.314,30.209,28.998,0 days 02:02:45.634000,0 days 02:03:15.843000,0 days 02:03:44.841000,308.0,307.0,304.0,,False,HARD,21.0,False,Alpine,0 days 02:02:17.331000,2023-09-03 14:03:18.376,1,15.0,False,,False,True
0 days 02:05:12.235000,GAS,10,87.383,29.0,2.0,,,28.372,30.15,28.861,0 days 02:04:13.213000,0 days 02:04:43.363000,0 days 02:05:12.224000,309.0,307.0,303.0,,False,HARD,22.0,False,Alpine,0 days 02:03:44.852000,2023-09-03 14:04:45.897,1,15.0,False,,False,True
0 days 02:06:39.893000,GAS,10,87.658,30.0,2.0,,,28.399,30.299,28.96,0 days 02:05:40.623000,0 days 02:06:10.922000,0 days 02:06:39.882000,308.0,307.0,304.0,314.0,False,HARD,23.0,False,Alpine,0 days 02:05:12.235000,2023-09-03 14:06:13.280,1,15.0,False,,False,True
0 days 02:08:12.097000,GAS,10,92.204,31.0,2.0,,0 days 02:08:08.289000,28.325,30.421,33.458,0 days 02:07:08.207000,0 days 02:07:38.628000,0 days 02:08:12.086000,,307.0,,315.0,False,HARD,24.0,False,Alpine,0 days 02:06:39.893000,2023-09-03 14:07:40.938,1,17.0,False,,False,False
0 days 02:09:58.817000,GAS,10,106.72,32.0,3.0,0 days 02:08:32.961000,,48.486,29.732,28.502,0 days 02:09:00.572000,0 days 02:09:30.304000,0 days 02:09:58.806000,306.0,303.0,304.0,281.0,False,MEDIUM,1.0,True,Alpine,0 days 02:08:12.097000,2023-09-03 14:09:13.142,1,19.0,False,,False,False
0 days 02:11:25.256000,GAS,10,86.439,33.0,3.0,,,28.265,29.682,28.492,0 days 02:10:27.071000,0 days 02:10:56.753000,0 days 02:11:25.245000,303.0,303.0,305.0,310.0,True,MEDIUM,2.0,True,Alpine,0 days 02:09:58.817000,2023-09-03 14:10:59.862,1,19.0,False,,False,True
0 days 02:12:52.133000,GAS,10,86.877,34.0,3.0,,,28.208,29.857,28.812,0 days 02:11:53.453000,0 days 02:12:23.310000,0 days 02:12:52.122000,305.0,306.0,305.0,309.0,False,MEDIUM,3.0,True,Alpine,0 days 02:11:25.256000,2023-09-03 14:12:26.301,1,18.0,False,,False,True
